Label,Name of the class,Assignment,Link to follow(1),Link to follow (2),Skills_involved,Difficulty,Format
CV,Créer son CV,"Create your French CV, or translate the one you currently use in French. Make it review by your colleagues and by Clémence.",https://www.youtube.com/watch?v=YNEo5dxFvyI,,"Writing, reading",High,Solo
Entretien,Entraine toi aux entretiens,"Pass a French interview with Clémence, or a fellow student who feels ready. You must ask your partner to prepare questions, and agree on the job position in advance. ",https://www.youtube.com/watch?v=1X5CICisiC0,,Speaking,High,Group activity
Présentation,Présente toi à la classe!,"One after the other, let's have a short speech (max 3min) about who we are, what we studied, what we work on, what we like and our aspirations. ",https://www.podcastfrancaisfacile.com/vocabulaire/se-presenter-en-francais.html,https://www.podcastfrancaisfacile.com/dialogue/mini-dialogue-fle-serie-2-delf-a1-se-presenter.html,Speaking,Low,Group activity
Vocabulaire,Lis un article sur le site indiqué,"Read an article on the website provided, and discuss your understanding with a student colleague ",https://theconversation.com/fr/politique/articles,,Reading,Medium,Solo
Vocabulaire,Vocabulaire de la ville,Make yourself some notes to learn the vocabulary.,https://toutenfrancais.tv/vocabulaire-de-la-ville/,https://www.podcastfrancaisfacile.com/vocabulaire/vocabulaire-dans-la-ville.html,Reading,Low,Solo
Vocabulaire,Vocabulaire du travail,Make yourself some notes to learn the vocabulary.,https://www.francaisavecpierre.com/vocabulaire-du-travail-en-francais/,,Reading,Low,Solo
Traduction,Traduis une recette ,"Find a recipe of your country and translate it to French. Then, find a partner and exchange your recipes: you will have to explain it to him in French until he/she understands.",,,Writing,Medium,Group activity
Musique,Traduis une chanson,"Take a song of your choice, and translate it to French. You might want to discuss it with your colleagues.",,,Writing,Medium,Solo
Vocabulaire,Apprends le vocabulaire de la cuisine,"Learn the kitchen and cooking vocabulary, and try to apply it: make sentences describing a MasterChef episode (a moment of it) and try to be precise on what the Chefs do with their tools.  ",https://leflepourlescurieux.fr/vocabulaire-de-la-cuisine-et-plus-encore-a2/,,"Reading, listening",Low,Solo
Micro-trottoir,Fais une interview !,"Challenge: write a vox pops about a topic concerning a fair amount of people and ask your question in the street, as if you were recording a radio show, or doing a social science experiment. ",,,"Speaking, writing",Medium,Challenge
Commander ,Commander à la cafét,"Go to the nearest bar or cafeteria, and order something in French (everything must be said in French)",,,Speaking,Low,Challenge
Art,Manet-Degas,Look at the reportage and do the exercizes.,https://apprendre.tv5monde.com/en/exercice/25197?id_serie=25205&nom_serie=manet_degas_ils_adoraient_se_detester_&niveau=a2_elementaire&exercice=1,,Listening,Medium,Solo
Apéro,L'apéritif français,Look at the reportage and do the exercizes.,https://apprendre.tv5monde.com/en/exercices/a1-breakthrough/aperitif,,Listening,Low,Solo
Droit ,Quel cadre juridique pour la mer ?,Look at the reportage and do the exercizes.,https://apprendre.tv5monde.com/en/exercices/a2-waystage/quel-cadre-juridique-pour-la-haute-mer,,Listening,Low,Solo
Art,Frida Kahlo,Look at the reportage and do the exercizes.,https://apprendre.tv5monde.com/en/exercice/21001?id_serie=21004&nom_serie=frida_kahlo_ou_la_peinture_de_soi&niveau=a2_elementaire&exercice=1,,Listening,Low,Solo
Vie quotidienne,Chez toi ? Chez moi ?,Look at the reportage and do the exercizes.,https://apprendre.tv5monde.com/en/exercice/20691?id_serie=20690&nom_serie=chez_toi_chez_moi_&niveau=a2_elementaire&exercice=1,,Listening,Low,Solo
Apéro,Recette de cocktail,"Translate your favourite cocktail recipe in French, and then explain it to a partner, who will do the same to you. Up to you if you also wanna taste!",,,"Writing, reading",Low,Duo
Corps,Les parties du corps,Learn the different body parts with this interactive image!,https://www.thinglink.com/scene/342616310535946241?buttonSource=otherScenes,,Reading,Low,Solo
Corps,Qui est-ce ?,"Who is the student you are talking about? One after the other, describe someone (both physically and in terms of personality) and try to make everyone guess who you are talking about. ",https://www.podcastfrancaisfacile.com/cours/cours-3c-2.html,,"Speaking, listening",Medium,Group activity
LGBT,Ou en sont les droits ?,Look at the reportage and do the exercizes.,https://apprendre.tv5monde.com/en/exercices/a2-waystage/ou-en-sont-les-droits-des-lgbt-dans-le-monde,,Listening,Medium,Solo
Jeu,L'ile déserte,"Le concept est ici très simple : il est demandé à chaque personne du groupe de choisir un objet qu’elle emporterait avec elle si elle devait être placée sur une île déserte. Divisez le groupe en sous-groupes aléatoires et demandez aux personnes qui les composent de travailler en équipe pour voir comment leurs objets respectifs pourraient leur servir à survivre, individuellement ou combinés.",,,Speaking,High,Group activity
Interview,La fausse interview,"Write a fake interview (could be for a movie star, or for a sport player) and interview a colleague who will play the character in answering your questions. You can then switch roles",,,Speaking,High,Duo
Vocabulaire,Vocabulaire du voyage,"Use this vocabulary to create sentences about yourself: what is your best memory in a trip? Which countries did you visit? What country would you like to visit? What was your biggest accomplishment in a trip? Your biggest fear? Then, share it with the class. ",https://leszexpertsfle.com/listes-vocabulaire-fle/liste-de-vocabulaire-fle-le-tourisme-et-les-voyages/,,Speaking,Medium,Group activity
Vocabulaire,Vocabulaire du voyage,Do the two exercizes in the website using the vocabulary. ,https://toutenfrancais.tv/vocabulaire-du-voyage-pdf/,,"Writing, reading",Low,Solo
Présentation,Se présenter,Read the vocabulary and make the exercizes.,https://www.podcastfrancaisfacile.com/cours/cours-1a.html,,"Writing, reading",Low,Solo
Bases,Un et une,"Listen to the audios, the video and do the exercises.",https://www.podcastfrancaisfacile.com/phonetique-2/prononciation-un-et-une.html,,"Listening, writing",Low,Solo
Conjugaison,Verbe être ,"Watch the video, take notes and try to learn the verb. Then, practice with the exercises in the second link. ",https://www.podcastfrancaisfacile.com/cours/verbe-etre-questions-reponses-de-base.html,https://la-conjugaison.nouvelobs.com/exercice/verbe/joue.php,"Listening, writing",Low,Solo
Conjugaison,"Etre, travailler, habiter","Read the different conjugation, and practice your -ER verbs with the exercise in the second link.",https://www.podcastfrancaisfacile.com/cours/cours-1e.html,https://www.liveworksheets.com/worksheets/fr/Fran%C3%A7ais_Langue_%C3%89trang%C3%A8re_(FLE)/Verbes_en_-er/Verbes_en_-er_lj1267555or,"Writing, reading",Low,Solo
Conjugaison,Avoir,"Read all the Cours 2a, then click on the Cours 2b on the bottom right corner. After, make the exercises in the second link. ",https://www.podcastfrancaisfacile.com/cours/cours-2a.html,https://la-conjugaison.nouvelobs.com/exercice/verbe/avoir.php,"Writing, reading",Low,Solo
Conjugaison,Parler une langue,"Read all the class about speaking a language, and use it to present yourself and the languages you speak!",https://www.podcastfrancaisfacile.com/cours/cours-2c.html,,"Speaking, reading",Low,Group activity
Conjugaison,Poser une question,Read the useful material about asking questions and use it to prepare some questions to your colleagues. ,https://www.podcastfrancaisfacile.com/cours/cours-2b.html,https://www.podcastfrancaisfacile.com/cours/cours-3b.html,"Speaking, reading",Low,Group activity
Vocabulaire,Vocabulaire des loisirs,Read all the useful vocabulary for describing your leisures.,https://www.podcastfrancaisfacile.com/vocabulaire/loisirs-fle-aimer-detester-vocabulaire-activites-debutant.html,,Reading,Low,Solo
Vocabulaire,Vocabulaire du cinéma,"Watch the video attached in the webpage, and try to note down the vocabulary. Then, ask Clémence for a film excerpt recommendation or take it from the list in the Drive. Watch an excerpt from this chosen film and make a small analysis/description of the scene, written or/and orally. ",https://nathaliefle.com/vocabulaire-cinema-en-francais/,,"Speaking, reading",Medium,Solo
Vocabulaire,Vocabulaire du vin,"Visit the page and watch the full video about 'how to order wine at the restaurant'. Then, make the small game below to check your understanding. ",https://nathaliefle.com/parler-vin-vocabulaire-utile-francais/,,"Writing, reading",Medium,Solo
Dialogue,Mini-dialogue,"Try to understand these little dialogues, and to make the exercise.",https://www.podcastfrancaisfacile.com/vocabulaire/mini-dialogue-a-completer.html,,"Writing, reading",Low,Solo
Grammaire,Sujet de la phrase,Read the lesson and make the small exercise below.,https://www.podcastfrancaisfacile.com/grammaire/le-sujet-de-la-phrase.html,,"Writing, reading",Low,Solo
Culture générale,Questions sur la France,"In a pair, ask each other the questions on the webpage, and see how many you can answer in French. After, make a small research about the questions you could not answer. The goal is to make you know all the responses!",https://www.podcastfrancaisfacile.com/communication/25-questions-sur-la-france.html,,"Speaking, reading",High,Duo
Conjugaison,Verbe savoir,"Click on the document and make the exercises on it, following the conjugation lesson. ",https://www.podcastfrancaisfacile.com/conjugaison/savoir-au-present-de-lindicatif.html,,"Writing, reading",Low,Solo
Conjugaison,Verbe en -cer et -ger,"Click on the document and make the exercises on it, following the conjugation lesson. ",https://www.podcastfrancaisfacile.com/conjugaison/verbes-en-ger-et-cer.html,,"Writing, reading",Medium,Solo
Conjugaison,"Pouvoir, vouloir, devoir","Click on the document and make the exercises on it, following the conjugation lesson. ",https://www.podcastfrancaisfacile.com/conjugaison/pouvoir-vouloir-devoir-conjugaison.html,https://www.podcastfrancaisfacile.com/conjugaison/phrases-modeles-vouloir-pouvoir-vouloir-savoir.html,"Writing, reading",Medium,Solo
Accent,Les accents en français,Exercise yourself! Write the missing parts of the sentences and work on the correct accent to use. ,https://www.podcastfrancaisfacile.com/conjugaison/changement-daccent-la-bascule-de-laccent.html,,"Writing, reading",Low,Solo
Grammaire,Pronoms compléments,"Exercise yourself! Read the sentences below and choose the corresponding answer.

",https://www.podcastfrancaisfacile.com/grammaire/les-pronoms-complements-en-lui-leur-exercice.html,,"Writing, reading",Low,Solo
Test,Conjugaison présent,TEST! Check your knowledge about the conjugation of all the first group verbs in French. ,https://www.podcastfrancaisfacile.com/conjugaison/conjugaison-test-present.html,,"Writing, reading",Medium,Solo
Vocabulaire,Vêtements et couleurs,"Activity to study color adjectives and clothing vocabulary. Read the text and associate the text with the images!

",https://www.podcastfrancaisfacile.com/texte/vetements-et-couleurs.html,,"Writing, reading",Medium,Solo
Grammaire,Grâce à ,"In this lesson, we study the prepositive phrase ""through."" Read the lesson and make the small exercise!

",https://www.podcastfrancaisfacile.com/grammaire/grace-a-expression-dune-cause-positive.html,,"Writing, reading",Medium,Solo
Conjugaison,Verbe du premier groupe,Conjugate the verbs at the present tense,https://www.podcastfrancaisfacile.com/conjugaison/exercice-conjugaison-des-verbes-du-premier-groupe.html,,"Writing, reading",Low,Solo
